X     .0000 1     .2500     .2500
     .1681   1.2058   .2561 1837.6 1404.  2.263 2843. 1.400 335.2   7.5464  .635
     .1681    .8952   .2072 1909.7 1289.  2.455 2843. 1.400 335.2   6.3886  .635
     .2260    .9848   .2015 1563.6 1488.  1.890 2552. 1.400 328.3   4.0281  .401
     .2839    .9900   .2089  742.8 1468.   .912 1712. 1.400 322.9    .7063  .217
     .3418    .9900   .3167     .0  978.   .000  978. 1.400 319.5    .0000  .100
X    3.3457 2     .2829     .3435
     .0000   1.7430   .3247 2058.0 1551.  2.374 3300. 1.400 346.0  12.4982 1.000
     .0631   1.8333   .3466 2020.3 1536.  2.348 3230. 1.400 344.3  12.9024  .944
     .1098   1.7351   .3445 1945.7 1479.  2.317 3068. 1.400 340.5  11.8391  .814
     .1565   1.5056   .3010 1787.4 1491.  2.136 2852. 1.400 335.4   8.5861  .641
     .2033   1.2418   .2351 1540.4 1600.  1.791 2627. 1.400 330.1   4.7587  .462
     .2500   1.0410   .1976 1152.9 1619.  1.342 2202. 1.400 325.5   1.9792  .304
     .2968    .9900   .2341  655.4 1314.   .852 1504. 1.400 321.9    .6009  .182
     .3435    .9900   .3167     .0  978.   .000  978. 1.400 319.5    .0000  .100
X    3.6894 3     .1793     .3499
     .0000   1.7113   .3209 2063.9 1541.  2.389 3300. 1.400 346.0  12.4042 1.000
     .0390   1.7816   .3364 2051.6 1531.  2.382 3269. 1.400 346.0  12.8878  .975
     .0780   1.8520   .3636 2011.6 1485.  2.382 3171. 1.400 343.0  13.4309  .897
     .1793    .9331   .2466 1931.2 1137.  2.654 2738. 1.400 332.7   7.9146  .551
     .1794    .9803   .2511 1909.0 1173.  2.582 2738. 1.400 332.7   7.8927  .550
     .2362    .9858   .2617 1731.3 1152.  2.384 2462. 1.400 326.9   6.6976  .353
     .2930    .9900   .2505  931.4 1226.  1.252 1610. 1.400 322.4   1.5480  .200
     .3499    .9900   .3167     .0  978.   .000  978. 1.400 319.5    .0000  .100
X    4.0331 3     .1246     .3563
     .0000    .9043   .2031 2208.0 1287.  2.796 3300. 1.400 346.0   8.5435 1.000
     .0338    .9061   .2050 2199.3 1277.  2.796 3274. 1.400 346.0   8.5610  .979
     .0792    .7031   .1764 2192.3 1163.  2.935 3166. 1.400 342.8   7.1393  .892
     .1246    .6885   .1859 2122.5 1093.  2.947 2993. 1.400 338.8   7.0372  .755
     .1246    .9331   .2308 2065.7 1194.  2.746 2993. 1.400 338.8   8.5105  .754
     .1563    .9331   .2459 2010.5 1131.  2.758 2853. 1.400 335.4   8.5932  .642
     .2563    .9852   .2180 1362.7 1389.  1.713 2204. 1.400 325.5   3.2268  .304
     .3563    .9900   .3167     .0  978.   .000  978. 1.400 319.5    .0000  .100
X    4.3766 3     .0001     .3629
     .0000    .3481   .1021 2366.5  985.  3.426 3297. 1.400 346.0   4.4335  .998
     .0001    .8411   .1880 2203.5 1293.  2.784 3297. 1.400 346.0   7.8064  .998
     .0522   1.0579   .2267 2140.1 1348.  2.648 3239. 1.400 346.0   9.0653  .952
